"Relative Time","Hits"
"00:00","0"
"00:08","2.875"
"00:16","0.625"
"00:24","0.375"
"00:32","0.75"
"00:40","0.75"
"00:48","1.375"
"00:56","0.875"
"01:04","1.5"
"01:12","0.75"
"01:20","0.75"
"01:28","0.75"
"01:36","0.75"
"01:44","1.125"
"01:52","0.75"
"02:00","1.125"
"02:08","0.75"
"02:16","0.75"
"02:24","1.125"
"02:32","0.75"
"02:40","1.125"
"02:48","0.75"
"02:56","0.75"
"03:04","1.125"
"03:12","0.75"
"03:20","1.125"
"03:28","0.75"
"03:36","0.75"
"03:44","1.125"
"03:52","0.75"
"04:00","0.75"
"04:08","0.75"
"04:16","0.75"
"04:24","1.5"
"04:32","0.75"
"04:40","0.75"
"04:48","0.75"
"04:56","0.75"
"05:04","1.5"
"05:12","0.75"
"05:20","0.75"
"05:28","0.75"
"05:36","0.75"
"05:44","0.75"
"05:52","0.375"
"06:00","0.5"
