"Relative Time","Pass"
"00:00","0.25"
"00:08","0.375"
"00:16","1"
"00:24","0.625"
"00:32","1.125"
"00:40","1.25"
"00:48","1.5"
"00:56","1.25"
"01:04","1.875"
"01:12","1.125"
"01:20","1.125"
"01:28","1"
"01:36","1"
"01:44","1.375"
"01:52","1.125"
"02:00","1.25"
"02:08","1.25"
"02:16","1"
"02:24","1.375"
"02:32","1.125"
"02:40","1.25"
"02:48","1.25"
"02:56","1"
"03:04","1.375"
"03:12","1.125"
"03:20","1.25"
"03:28","1.25"
"03:36","0.875"
"03:44","1.25"
"03:52","1.25"
"04:00","1"
"04:08","1.25"
"04:16","1"
"04:24","1.5"
"04:32","1.25"
"04:40","1"
"04:48","1.25"
"04:56","1"
"05:04","1.5"
"05:12","1.25"
"05:20","1"
"05:28","1.25"
"05:36","0.875"
"05:44","0.75"
"05:52","0.5"
"06:00","0.833"
