"Relative Time","Action_Transaction","T01_SIGNIN","T02_SELECT_CATEGORY","T03_SELECT_PRODUCT","T04_ADD_TO_CART","T05_CHECKOUT","T06_CONTINUE","T07_CONFIRM","T08_SIGNOUT","TRANSACTION_01_GET","TRANSACTION_02_GET","TRANSACTION_03_GETID","vuser_end_Transaction","vuser_init_Transaction"
"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"00:08","","1","","","","","","","","1","1","","",""
"00:16","2","","1","1","","","","","","2","2","2","",""
"00:24","3","","","","","","","","","4","3","3","",""
"00:32","5","","","","","","","","","6","5","5","","3"
"00:40","7","","","","","","","","","9","8","7","",""
"00:48","10","","","","1","1","","","","11","10","10","",""
"00:56","12","","","","","","","","","14","13","12","",""
"01:04","16","","","","","","1","1","1","16","15","15","1",""
"01:12","18","","","","","","","","","18","18","17","",""
"01:20","20","","","","","","","","","21","20","19","",""
"01:28","22","","","","","","","","","23","22","21","",""
"01:36","24","","","","","","","","","25","24","23","",""
"01:44","27","","","","","","","","","27","27","26","",""
"01:52","29","","","","","","","","","30","29","28","",""
"02:00","32","","","","","","","","","32","31","31","",""
"02:08","34","","","","","","","","","35","34","33","",""
"02:16","36","","","","","","","","","37","36","35","",""
"02:24","39","","","","","","","","","39","39","38","",""
"02:32","41","","","","","","","","","42","41","40","",""
"02:40","44","","","","","","","","","44","43","43","",""
"02:48","46","","","","","","","","","47","46","45","",""
"02:56","48","","","","","","","","","49","48","47","",""
"03:04","51","","","","","","","","","51","51","50","",""
"03:12","53","","","","","","","","","54","53","52","",""
"03:20","56","","","","","","","","","56","55","55","",""
"03:28","58","","","","","","","","","59","58","57","",""
"03:36","60","","","","","","","","","60","60","59","",""
"03:44","63","","","","","","","","","62","62","62","",""
"03:52","65","","","","","","","","","66","64","64","",""
"04:00","67","","","","","","","","","68","66","66","",""
"04:08","69","","","","","","","","","70","70","68","",""
"04:16","71","","","","","","","","","72","72","70","",""
"04:24","75","","","","","","","","","74","74","74","",""
"04:32","77","","","","","","","","","78","76","76","",""
"04:40","79","","","","","","","","","80","78","78","",""
"04:48","81","","","","","","","","","82","82","80","",""
"04:56","83","","","","","","","","","84","84","82","",""
"05:04","87","","","","","","","","","86","86","86","",""
"05:12","89","","","","","","","","","90","88","88","",""
"05:20","91","","","","","","","","","92","90","90","",""
"05:28","93","","","","","","","","","94","94","92","",""
"05:36","95","","","","","","","","","95","95","94","2",""
"05:44","97","","","","","","","","","96","96","96","",""
"05:52","98","","","","","","","","","97","97","97","",""
"06:00","99","","","","","","","","","98","98","98","3",""
"06:08","99","1","1","1","1","1","1","1","1","98","98","98","3","3"
