"Transaction Response time (rounded down to the nearest second)","Action_Transaction","T01_SIGNIN","T02_SELECT_CATEGORY","T03_SELECT_PRODUCT","T04_ADD_TO_CART","T05_CHECKOUT","T06_CONTINUE","T07_CONFIRM","T08_SIGNOUT","TRANSACTION_01_GET","TRANSACTION_02_GET","TRANSACTION_03_GETID","vuser_end_Transaction","vuser_init_Transaction"
"0","","","1","1","1","1","","","1","","94","97","3","3"
"1","","1","","","","","","1","","92","2","1","",""
"2","","","","","","","","","","4","2","","",""
"3","","","","","","","","","","1","","","",""
"6","91","","","","","","","","","1","","","",""
"7","3","","","","","","","","","","","","",""
"8","2","","","","","","","","","","","","",""
"9","1","","","","","","","","","","","","",""
"13","1","","","","","","","","","","","","",""
"18","","","","","","","1","","","","","","",""
"63","1","","","","","","","","","","","","",""
