"Percent of Transactions","Action_Transaction","T01_SIGNIN","T02_SELECT_CATEGORY","T03_SELECT_PRODUCT","T04_ADD_TO_CART","T05_CHECKOUT","T06_CONTINUE","T07_CONFIRM","T08_SIGNOUT","TRANSACTION_01_GET","TRANSACTION_02_GET","TRANSACTION_03_GETID","vuser_end_Transaction","vuser_init_Transaction"
"1","2.165","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.361","0.464","0.231","0","0.001"
"2","2.226","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.37","0.468","0.233","0","0.001"
"3","2.275","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.432","0.475","0.235","0","0.001"
"4","2.3","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.471","0.48","0.237","0","0.001"
"5","2.337","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.476","0.482","0.238","0","0.001"
"6","2.34","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.504","0.486","0.241","0","0.001"
"7","2.355","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.521","0.486","0.245","0","0.001"
"8","2.358","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.525","0.487","0.248","0","0.001"
"9","2.359","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.538","0.492","0.248","0","0.001"
"10","2.361","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.542","0.493","0.249","0","0.001"
"11","2.388","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.564","0.498","0.25","0","0.001"
"12","2.4","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.566","0.498","0.251","0","0.001"
"13","2.413","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.578","0.502","0.251","0","0.001"
"14","2.414","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.598","0.504","0.254","0","0.001"
"15","2.437","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.601","0.505","0.256","0","0.001"
"16","2.438","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.605","0.506","0.258","0","0.001"
"17","2.458","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.633","0.508","0.258","0","0.001"
"18","2.459","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.636","0.515","0.258","0","0.001"
"19","2.499","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.639","0.518","0.259","0","0.001"
"20","2.505","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.645","0.518","0.26","0","0.001"
"21","2.51","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.66","0.519","0.26","0","0.001"
"22","2.512","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.668","0.52","0.261","0","0.001"
"23","2.514","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.67","0.521","0.262","0","0.001"
"24","2.521","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.678","0.522","0.262","0","0.001"
"25","2.523","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.686","0.522","0.262","0","0.001"
"26","2.534","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.687","0.525","0.263","0","0.001"
"27","2.545","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.689","0.527","0.263","0","0.001"
"28","2.546","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.695","0.527","0.264","0","0.001"
"29","2.55","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.707","0.528","0.265","0","0.001"
"30","2.553","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.709","0.529","0.265","0","0.001"
"31","2.563","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.71","0.529","0.265","0","0.001"
"32","2.571","1.354","0.176","0.284","0.172","0.189","0.47","1.222","0.407","1.711","0.53","0.266","0","0.001"
