"Transaction Name","Minimum","Average","Maximum"
"Action_Transaction","2.165","2.864","9.889"
"T01_SIGNIN","1.354","1.354","1.354"
"T02_SELECT_CATEGORY","0.176","0.176","0.176"
"T03_SELECT_PRODUCT","0.284","0.284","0.284"
"T04_ADD_TO_CART","0.172","0.172","0.172"
"T05_CHECKOUT","0.189","0.189","0.189"
"T06_CONTINUE","0.47","0.47","0.47"
"T07_CONFIRM","1.222","1.222","1.222"
"T08_SIGNOUT","0.407","0.407","0.407"
"TRANSACTION_01_GET","1.361","1.841","6.23"
"TRANSACTION_02_GET","0.464","0.63","2.572"
"TRANSACTION_03_GETID","0.231","0.32","1.996"
"vuser_end_Transaction","0","0.136","0.407"
"vuser_init_Transaction","0.001","0.002","0.002"
