"Relative Time","Connection Shutdowns","New Connections"
"00:00","0","0"
"00:08","0","0.25"
"00:16","0.125","0.125"
"00:24","0.125","0.125"
"00:32","0.125","0.25"
"00:40","0.375","0.25"
"00:48","0.25","0.375"
"00:56","0.375","0.25"
"01:04","0.5","0.5"
"01:12","0.25","0.25"
"01:20","0.375","0.375"
"01:28","0.125","0.125"
"01:36","0.375","0.375"
"01:44","0.25","0.25"
"01:52","0.375","0.375"
"02:00","0.25","0.25"
"02:08","0.25","0.25"
"02:16","0.375","0.375"
"02:24","0.25","0.25"
"02:32","0.375","0.375"
"02:40","0.25","0.25"
"02:48","0.25","0.25"
"02:56","0.375","0.375"
"03:04","0.25","0.25"
"03:12","0.375","0.375"
"03:20","0.25","0.25"
"03:28","0.25","0.25"
"03:36","0.375","0.375"
"03:44","0.25","0.25"
"03:52","0.25","0.25"
"04:00","0.25","0.25"
"04:08","0.25","0.25"
"04:16","0.5","0.5"
"04:24","0.25","0.25"
"04:32","0.25","0.25"
"04:40","0.25","0.25"
"04:48","0.375","0.25"
"04:56","0.375","0.5"
"05:04","0.25","0.25"
"05:12","0.25","0.25"
"05:20","0.25","0.25"
"05:28","0.375","0.25"
"05:36","0.375","0.375"
"05:44","0.125","0.125"
"05:52","0.125","0.125"
"06:00","0.333","0.167"
