"Relative Time","Action_Transaction:Pass","T01_SIGNIN:Pass","T02_SELECT_CATEGORY:Pass","T03_SELECT_PRODUCT:Pass","T04_ADD_TO_CART:Pass","T05_CHECKOUT:Pass","T06_CONTINUE:Pass","T07_CONFIRM:Pass","T08_SIGNOUT:Pass","TRANSACTION_01_GET:Pass","TRANSACTION_02_GET:Pass","TRANSACTION_03_GETID:Pass","vuser_end_Transaction:Pass","vuser_init_Transaction:Pass"
"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.25"
"00:08","0","0.125","0","0","0","0","0","0","0","0.125","0.125","0","0","0"
"00:16","0.25","0","0.125","0.125","0","0","0","0","0","0.125","0.125","0.25","0","0"
"00:24","0.125","0","0","0","0","0","0","0","0","0.25","0.125","0.125","0","0"
"00:32","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0.125"
"00:40","0.25","0","0","0","0","0","0","0","0","0.375","0.375","0.25","0","0"
"00:48","0.375","0","0","0","0.125","0.125","0","0","0","0.25","0.25","0.375","0","0"
"00:56","0.25","0","0","0","0","0","0","0","0","0.375","0.375","0.25","0","0"
"01:04","0.5","0","0","0","0","0","0.125","0.125","0.125","0.25","0.25","0.375","0.125","0"
"01:12","0.25","0","0","0","0","0","0","0","0","0.25","0.375","0.25","0","0"
"01:20","0.25","0","0","0","0","0","0","0","0","0.375","0.25","0.25","0","0"
"01:28","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"01:36","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"01:44","0.375","0","0","0","0","0","0","0","0","0.25","0.375","0.375","0","0"
"01:52","0.25","0","0","0","0","0","0","0","0","0.375","0.25","0.25","0","0"
"02:00","0.375","0","0","0","0","0","0","0","0","0.25","0.25","0.375","0","0"
"02:08","0.25","0","0","0","0","0","0","0","0","0.375","0.375","0.25","0","0"
"02:16","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"02:24","0.375","0","0","0","0","0","0","0","0","0.25","0.375","0.375","0","0"
"02:32","0.25","0","0","0","0","0","0","0","0","0.375","0.25","0.25","0","0"
"02:40","0.375","0","0","0","0","0","0","0","0","0.25","0.25","0.375","0","0"
"02:48","0.25","0","0","0","0","0","0","0","0","0.375","0.375","0.25","0","0"
"02:56","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"03:04","0.375","0","0","0","0","0","0","0","0","0.25","0.375","0.375","0","0"
"03:12","0.25","0","0","0","0","0","0","0","0","0.375","0.25","0.25","0","0"
"03:20","0.375","0","0","0","0","0","0","0","0","0.25","0.25","0.375","0","0"
"03:28","0.25","0","0","0","0","0","0","0","0","0.375","0.375","0.25","0","0"
"03:36","0.25","0","0","0","0","0","0","0","0","0.125","0.25","0.25","0","0"
"03:44","0.375","0","0","0","0","0","0","0","0","0.25","0.25","0.375","0","0"
"03:52","0.25","0","0","0","0","0","0","0","0","0.5","0.25","0.25","0","0"
"04:00","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"04:08","0.25","0","0","0","0","0","0","0","0","0.25","0.5","0.25","0","0"
"04:16","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"04:24","0.5","0","0","0","0","0","0","0","0","0.25","0.25","0.5","0","0"
"04:32","0.25","0","0","0","0","0","0","0","0","0.5","0.25","0.25","0","0"
"04:40","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"04:48","0.25","0","0","0","0","0","0","0","0","0.25","0.5","0.25","0","0"
"04:56","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"05:04","0.5","0","0","0","0","0","0","0","0","0.25","0.25","0.5","0","0"
"05:12","0.25","0","0","0","0","0","0","0","0","0.5","0.25","0.25","0","0"
"05:20","0.25","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0"
"05:28","0.25","0","0","0","0","0","0","0","0","0.25","0.5","0.25","0","0"
"05:36","0.25","0","0","0","0","0","0","0","0","0.125","0.125","0.25","0.125","0"
"05:44","0.25","0","0","0","0","0","0","0","0","0.125","0.125","0.25","0","0"
"05:52","0.125","0","0","0","0","0","0","0","0","0.125","0.125","0.125","0","0"
"06:00","0.167","0","0","0","0","0","0","0","0","0.167","0.167","0.167","0.167","0"
